Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
68,0,2,2,1.588911111,0.19,0.00,0.12,1.01,D,1,7/23/2020 20:01
69,0,2,2,1.622244444,0.19,0.00,0.12,1.01,D,1,7/23/2020 20:03
70,0,2,2,1.655577778,0.20,0.00,0.12,1.01,D,1,7/23/2020 20:05
71,0,2,2,1.688911111,0.20,0.00,0.12,1.00,D,1,7/23/2020 20:07
72,0,2,2,1.722244444,0.21,0.00,0.12,1.00,D,1,7/23/2020 20:09
73,0,2,2,1.755577778,0.21,0.00,0.12,0.99,D,1,7/23/2020 20:11
74,0,2,2,1.788911111,0.21,0.00,0.12,0.99,D,1,7/23/2020 20:13
75,0,2,2,1.822244444,0.22,0.00,0.12,0.99,D,1,7/23/2020 20:15
76,0,2,2,1.855577778,0.22,0.00,0.12,0.98,D,1,7/23/2020 20:17
77,0,2,2,1.888911111,0.23,0.00,0.12,0.98,D,1,7/23/2020 20:19
78,0,2,2,1.922244444,0.23,0.00,0.12,0.98,D,1,7/23/2020 20:21
79,0,2,2,1.955577778,0.23,0.00,0.12,0.97,D,1,7/23/2020 20:23
80,0,2,2,1.988911111,0.24,0.00,0.12,0.97,D,1,7/23/2020 20:25
81,0,2,2,2.022244444,0.24,0.00,0.12,0.97,D,1,7/23/2020 20:27
82,0,2,2,2.055577778,0.25,0.00,0.12,0.97,D,1,7/23/2020 20:29
83,0,2,2,2.088911111,0.25,0.00,0.12,0.96,D,1,7/23/2020 20:31
84,0,2,2,2.122244444,0.25,0.00,0.12,0.96,D,1,7/23/2020 20:33
85,0,2,2,2.155577778,0.26,0.00,0.12,0.96,D,1,7/23/2020 20:35
86,0,2,2,2.188911111,0.26,0.00,0.12,0.96,D,1,7/23/2020 20:37
87,0,2,2,2.222244444,0.27,0.00,0.12,0.95,D,1,7/23/2020 20:39
88,0,2,2,2.255577778,0.27,0.00,0.12,0.95,D,1,7/23/2020 20:41
89,0,2,2,2.288911111,0.27,0.00,0.12,0.95,D,1,7/23/2020 20:43
90,0,2,2,2.322244444,0.28,0.00,0.12,0.95,D,1,7/23/2020 20:45
91,0,2,2,2.355577778,0.28,0.00,0.12,0.94,D,1,7/23/2020 20:47
92,0,2,2,2.388911111,0.29,0.00,0.12,0.94,D,1,7/23/2020 20:49
93,0,2,3,2.422244444,0.29,0.00,0.12,0.94,D,1,7/23/2020 20:51
