Today''s Date,43670.46896,Date of Test:,43669.49397,Filename:,C:\Maccor\System\University at Buffalo # 1\Active\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1,C Rate,0.00192,
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,mAh/g,mAh/g
65,0,3,0.506769444,0.006769444,2.03E-03,4.58359E-06,0.299916075,1.986953536,D,5,43669.51509,1.05676431,1.05676431
66,0,3,0.506980556,0.006980556,2.09E-03,4.70905E-06,0.300144961,1.97550927,D,5,43669.5151,1.089746874,1.089746874
67,0,3,0.507197222,0.007197222,2.16E-03,4.83706E-06,0.29999237,1.964370184,D,5,43669.51511,1.123596465,1.123596465
68,0,3,0.507433333,0.007433333,2.23E-03,4.97578E-06,0.299610895,1.953383688,D,5,43669.51512,1.16048516,1.16048516
69,0,3,0.507672222,0.007672222,2.30E-03,5.11533E-06,0.299763485,1.942244602,D,5,43669.51513,1.197806648,1.197806648
70,0,3,0.507933333,0.007933333,2.38E-03,5.267E-06,0.299916075,1.930952926,D,5,43669.51514,1.238600044,1.238600044
71,0,3,0.508202778,0.008202778,2.46E-03,5.4226E-06,0.299916075,1.920271611,D,5,43669.51515,1.280695161,1.280695161
72,0,3,0.508486111,0.008486111,2.54E-03,5.58532E-06,0.29999237,1.909590295,D,5,43669.51516,1.324959124,1.324959124
73,0,3,0.508794444,0.008794444,2.64E-03,5.76142E-06,0.299916075,1.89906157,D,5,43669.51517,1.373130432,1.373130432
74,0,3,0.509122222,0.009122222,2.73E-03,5.94756E-06,0.300068666,1.888380255,D,5,43669.51519,1.424338858,1.424338858
75,0,3,0.509475,0.009475,2.84E-03,6.14679E-06,0.29999237,1.877546349,D,5,43669.5152,1.479454048,1.479454048
76,0,3,0.509869444,0.009869444,2.96E-03,6.36827E-06,0.299916075,1.866865034,D,5,43669.51522,1.541078486,1.541078486
77,0,3,0.510280556,0.010280556,3.08E-03,6.59781E-06,0.300144961,1.856488899,D,5,43669.51524,1.605306457,1.605306457
78,0,3,0.510736111,0.010736111,3.22E-03,6.85075E-06,0.29999237,1.846265354,D,5,43669.51525,1.676478105,1.676478105
79,0,3,0.511222222,0.011222222,3.36E-03,7.11916E-06,0.299916075,1.83588922,D,5,43669.51527,1.752424032,1.752424032
80,0,3,0.511769444,0.011769444,3.53E-03,7.41959E-06,0.29999237,1.825055314,D,5,43669.5153,1.837916086,1.837916086
81,0,3,0.512394444,0.012394444,3.72E-03,7.76073E-06,0.29983978,1.814526589,D,5,43669.51532,1.93555976,1.93555976
82,0,3,0.513025,0.013025,3.91E-03,8.1029E-06,0.29999237,1.804303044,D,5,43669.51535,2.034071243,2.034071243
83,0,3,0.513705556,0.013705556,4.11E-03,8.47011E-06,0.299763485,1.7940795,D,5,43669.51538,2.140394207,2.140394207
84,0,3,0.514419444,0.014419444,4.32E-03,8.8531E-06,0.29983978,1.783550774,D,5,43669.51541,2.251925127,2.251925127
85,0,3,0.515205556,0.015205556,4.56E-03,9.27237E-06,0.29999237,1.77332723,D,5,43669.51544,2.374738776,2.374738776
86,0,3,0.516041667,0.016041667,4.81E-03,9.71577E-06,0.299916075,1.763103685,D,5,43669.51548,2.505364483,2.505364483
87,0,3,0.516947222,0.016947222,5.08E-03,1.01932E-05,0.299916075,1.75272755,D,5,43669.51551,2.646839207,2.646839207
88,0,3,0.517930556,0.017930556,5.38E-03,1.07086E-05,0.29999237,1.742351415,D,5,43669.51555,2.800466338,2.800466338
89,0,3,0.518986111,0.018986111,5.69E-03,1.12587E-05,0.29983978,1.732280461,D,5,43669.5156,2.965375004,2.965375004
90,0,3,0.520005556,0.020005556,6.00E-03,1.17868E-05,0.299763485,1.722056916,D,5,43669.51564,3.124643691,3.124643691
91,0,3,0.521125,0.021125,6.34E-03,1.23633E-05,0.300068666,1.711985962,D,5,43669.51569,3.299536246,3.299536246
92,0,3,0.522238889,0.022238889,6.67E-03,1.29335E-05,0.29999237,1.701609827,D,5,43669.51573,3.473559423,3.473559423
93,0,3,0.523441667,0.023441667,7.03E-03,1.35456E-05,0.300068666,1.691081102,D,5,43669.51578,3.661470397,3.661470397
94,0,3,0.524672222,0.024672222,7.40E-03,1.41679E-05,0.29999237,1.680857557,D,5,43669.51584,3.853720615,3.853720615
95,0,3,0.525888889,0.025888889,7.76E-03,1.47794E-05,0.29999237,1.670481422,D,5,43669.51589,4.043800883,4.043800883
96,0,3,0.527066667,0.027066667,8.12E-03,1.53677E-05,0.29999237,1.660257877,D,5,43669.51594,4.227805518,4.227805518
97,0,3,0.528405556,0.028405556,8.52E-03,1.60324E-05,0.300068666,1.649881743,D,5,43669.51599,4.436979915,4.436979915
98,0,3,0.529680556,0.029680556,8.90E-03,1.66614E-05,0.299763485,1.639505608,D,5,43669.51604,4.63617427,4.63617427
99,0,3,0.530952778,0.030952778,9.28E-03,1.72851E-05,0.29999237,1.629129473,D,5,43669.5161,4.834932699,4.834932699
100,0,3,0.532247222,0.032247222,9.67E-03,1.79156E-05,0.29999237,1.619058518,D,5,43669.51615,5.037164609,5.037164609
101,0,3,0.5336,0.0336,1.01E-02,1.85705E-05,0.299763485,1.608987564,D,5,43669.51621,5.248509252,5.248509252
102,0,3,0.535025,0.035025,1.05E-02,1.92559E-05,0.29999237,1.598764019,D,5,43669.51627,5.471136974,5.471136974
103,0,3,0.536636111,0.036636111,1.10E-02,2.0026E-05,0.300144961,1.588540475,D,5,43669.51633,5.722841882,5.722841882
104,0,3,0.538433333,0.038433333,1.15E-02,2.08795E-05,0.299916075,1.57831693,D,5,43669.51641,6.003621008,6.003621008
105,0,3,0.541072222,0.041072222,1.23E-02,2.21245E-05,0.300144961,1.568093385,D,5,43669.51652,6.415895973,6.415895973
106,0,3,0.557533333,0.057533333,1.73E-02,2.98817E-05,0.29999237,1.57816434,D,5,43669.5172,8.987624119,8.987624119
107,0,3,0.57695,0.07695,2.31E-02,3.90471E-05,0.299916075,1.568093385,D,5,43669.51801,12.02109768,12.02109768
108,0,3,0.594088889,0.094088889,2.82E-02,4.70828E-05,0.299916075,1.558022431,D,5,43669.51873,14.69871222,14.69871222
109,0,3,0.612663889,0.112663889,3.38E-02,5.57362E-05,0.300068666,1.547798886,D,5,43669.5195,17.60068958,17.60068958
110,0,3,0.633719444,0.133719444,4.01E-02,6.54817E-05,0.29999237,1.537727932,D,5,43669.52038,20.89020355,20.89020355
111,0,3,0.654361111,0.154361111,4.63E-02,7.4972E-05,0.29983978,1.527351797,D,5,43669.52124,24.11505655,24.11505655
112,0,3,0.675644444,0.175644444,5.27E-02,8.46914E-05,0.300221256,1.517280842,D,5,43669.52213,27.44015967,27.44015967
113,0,3,0.696069444,0.196069444,5.88E-02,9.39573E-05,0.299916075,1.507209888,D,5,43669.52298,30.63116278,30.63116278
114,0,3,0.717905556,0.217905556,6.54E-02,0.000103798,0.300221256,1.497138933,D,5,43669.52389,34.04262283,34.04262283
115,0,3,0.740836111,0.240836111,7.22E-02,0.000114061,0.299916075,1.487067979,D,5,43669.52484,37.62507177,37.62507177
116,0,3,0.764930556,0.264930556,7.95E-02,0.000124773,0.29968719,1.476997024,D,5,43669.52585,41.38935064,41.38935064
117,0,3,0.789241667,0.289241667,8.68E-02,0.000135507,0.300144961,1.46677348,D,5,43669.52686,45.18747939,45.18747939
118,0,3,0.817447222,0.317447222,9.52E-02,0.000147875,0.299916075,1.456549935,D,5,43669.52803,49.5940432,49.5940432
119,0,3,0.846319444,0.346319444,1.04E-01,0.000160445,0.29999237,1.446478981,D,5,43669.52924,54.10475398,54.10475398
120,0,3,0.875538889,0.375538889,1.13E-01,0.000173078,0.299763485,1.436408026,D,5,43669.53046,58.66972007,58.66972007
121,0,3,0.907225,0.407225,1.22E-01,0.000186682,0.299916075,1.426337072,D,5,43669.53178,63.6200511,63.6200511
122,0,3,0.940558333,0.440558333,1.32E-01,0.000200895,0.299916075,1.416571298,D,1,43669.53317,68.82772897,68.82772897
123,0,3,0.973891667,0.473891667,1.42E-01,0.000215012,0.29999237,1.407263294,D,1,43669.53455,74.03541137,74.03541137
124,0,3,1.007225,0.507225,1.52E-01,0.000229035,0.300068666,1.398107881,D,1,43669.53594,79.24309524,79.24309524
125,0,3,1.040558333,0.540558333,1.62E-01,0.000242968,0.299916075,1.388799878,D,1,43669.53733,84.45076952,84.45076952
126,0,3,1.073891667,0.573891667,1.72E-01,0.000256811,0.300068666,1.380102235,D,1,43669.53872,89.65844875,89.65844875
127,0,3,1.107225,0.607225,1.82E-01,0.000270564,0.300221256,1.370794232,D,1,43669.54011,94.86613026,94.86613026
128,0,3,1.139933333,0.639933333,1.92E-01,0.000283964,0.300068666,1.360723278,D,5,43669.54147,99.97616289,99.97616289
129,0,3,1.171922222,0.671922222,2.02E-01,0.000296975,0.29999237,1.350652323,D,5,43669.54281,104.9737953,104.9737953
130,0,3,1.204547222,0.704547222,2.11E-01,0.000310144,0.299916075,1.340581369,D,5,43669.54416,110.0708169,110.0708169
131,0,3,1.232663889,0.732663889,2.20E-01,0.000321407,0.300144961,1.330510414,D,5,43669.54534,114.4634997,114.4634997
132,0,3,1.261427778,0.761427778,2.28E-01,0.000332845,0.300068666,1.32043946,D,5,43669.54653,118.9572902,118.9572902
133,0,3,1.288327778,0.788327778,2.36E-01,0.00034346,0.29999237,1.310368505,D,5,43669.54766,123.159885,123.159885
134,0,3,1.313302778,0.813302778,2.44E-01,0.000353243,0.300068666,1.300297551,D,5,43669.5487,127.0617367,127.0617367
135,0,3,1.340852778,0.840852778,2.52E-01,0.00036395,0.29983978,1.290074006,D,5,43669.54984,131.3658799,131.3658799
136,0,3,1.365066667,0.865066667,2.59E-01,0.000373285,0.29999237,1.279850462,D,5,43669.55085,135.1488272,135.1488272
137,0,3,1.389094444,0.889094444,2.67E-01,0.000382475,0.29983978,1.269779507,D,5,43669.55185,138.9026956,138.9026956
138,0,3,1.411063889,0.911063889,2.73E-01,0.00039081,0.29999237,1.259708553,D,5,43669.55277,142.3349883,142.3349883
139,0,3,1.432005556,0.932005556,2.80E-01,0.000398692,0.299763485,1.249637598,D,5,43669.55364,145.6067127,145.6067127
140,0,3,1.451822222,0.951822222,2.86E-01,0.00040609,0.300068666,1.239566644,D,5,43669.55447,148.702676,148.702676
141,0,3,1.471169444,0.971169444,2.91E-01,0.000413255,0.29999237,1.229343099,D,5,43669.55527,151.7253002,151.7253002
142,0,3,1.48995,0.98995,2.97E-01,0.000420153,0.29999237,1.218966964,D,5,43669.55606,154.6593886,154.6593886
143,0,3,1.507752778,1.007752778,3.02E-01,0.000426637,0.29999237,1.20889601,D,5,43669.5568,157.4407217,157.4407217
144,0,3,1.527238889,1.027238889,3.08E-01,0.000433675,0.300221256,1.198672465,D,5,43669.55761,160.4850428,160.4850428
145,0,3,1.546125,1.046125,3.14E-01,0.000440437,0.29999237,1.188601511,D,5,43669.5584,163.4356255,163.4356255
146,0,3,1.563616667,1.063616667,3.19E-01,0.000446647,0.299763485,1.178377966,D,5,43669.55913,166.1683528,166.1683528
147,0,3,1.581913889,1.081913889,3.25E-01,0.000453088,0.299916075,1.168307012,D,5,43669.55989,169.0269338,169.0269338
148,0,3,1.599916667,1.099916667,3.30E-01,0.000459371,0.299763485,1.158236057,D,5,43669.56064,171.8395145,171.8395145
149,0,3,1.617425,1.117425,3.35E-01,0.000465427,0.29999237,1.148012512,D,5,43669.56137,174.574853,174.574853
150,0,3,1.633997222,1.133997222,3.40E-01,0.00047111,0.29999237,1.137941558,D,5,43669.56206,177.1639348,177.1639348
151,0,3,1.651558333,1.151558333,3.45E-01,0.000477079,0.29999237,1.127412833,D,5,43669.56279,179.9075104,179.9075104
152,0,3,1.669161111,1.169161111,3.51E-01,0.000483008,0.300068666,1.117189288,D,5,43669.56352,182.6575977,182.6575977
153,0,3,1.685713889,1.185713889,3.56E-01,0.00048853,0.300068666,1.107118334,D,5,43669.56421,185.2436419,185.2436419
154,0,3,1.701911111,1.201911111,3.61E-01,0.000493885,0.300068666,1.097047379,D,5,43669.56489,187.7741438,187.7741438
155,0,3,1.717497222,1.217497222,3.65E-01,0.00049899,0.299916075,1.086976425,D,5,43669.56554,190.2091662,190.2091662
156,0,3,1.732391667,1.232391667,3.70E-01,0.000503825,0.29999237,1.07690547,D,5,43669.56616,192.5361317,192.5361317
157,0,3,1.747769444,1.247769444,3.74E-01,0.00050877,0.29999237,1.066834516,D,5,43669.5668,194.9386051,194.9386051
158,0,3,1.763469444,1.263469444,3.79E-01,0.00051377,0.29999237,1.056763561,D,5,43669.56745,197.3914187,197.3914187
159,0,3,1.778225,1.278225,3.83E-01,0.000518425,0.29999237,1.046540017,D,5,43669.56807,199.6966848,199.6966848
160,0,3,1.793802778,1.293802778,3.88E-01,0.000523293,0.300068666,1.036469062,D,5,43669.56872,202.1304023,202.1304023
161,0,3,1.808294444,1.308294444,3.92E-01,0.000527777,0.300144961,1.026245518,D,5,43669.56932,204.3944407,204.3944407
162,0,3,1.824066667,1.324066667,3.97E-01,0.000532609,0.300068666,1.016174563,D,5,43669.56998,206.8585372,206.8585372
163,0,3,1.838513889,1.338513889,4.02E-01,0.000536991,0.300144961,1.005951019,D,5,43669.57058,209.1156339,209.1156339
164,0,3,1.853611111,1.353611111,4.06E-01,0.000541525,0.29999237,0.995727474,D,5,43669.57121,211.474276,211.474276
165,0,3,1.868566667,1.368566667,4.11E-01,0.00054597,0.299916075,0.985656519,D,5,43669.57183,213.8107897,213.8107897
166,0,3,1.883947222,1.383947222,4.15E-01,0.000550495,0.299916075,0.975585565,D,5,43669.57247,216.2136985,216.2136985
167,0,3,1.898616667,1.398616667,4.20E-01,0.000554766,0.29999237,0.965514611,D,5,43669.57309,218.5055124,218.5055124
168,0,3,1.913763889,1.413763889,4.24E-01,0.000559131,0.29999237,0.955443656,D,5,43669.57372,220.8719666,220.8719666
169,0,3,1.929188889,1.429188889,4.29E-01,0.000563529,0.29999237,0.945372702,D,5,43669.57436,223.2818201,223.2818201
170,0,3,1.944111111,1.444111111,4.33E-01,0.000567738,0.300068666,0.935301747,D,5,43669.57498,225.6131257,225.6131257
171,0,3,1.959513889,1.459513889,4.38E-01,0.000572038,0.29999237,0.925230793,D,5,43669.57562,228.0195067,228.0195067
172,0,3,1.975030556,1.475030556,4.42E-01,0.000576322,0.29983978,0.915007248,D,5,43669.57627,230.4436803,230.4436803
173,0,3,1.991263889,1.491263889,4.47E-01,0.000580753,0.300144961,0.904936294,D,5,43669.57695,232.9798193,232.9798193
174,0,3,2.006958333,1.506958333,4.52E-01,0.000584989,0.299763485,0.894865339,D,5,43669.5776,235.431765,235.431765
175,0,3,2.022666667,1.522666667,4.57E-01,0.000589182,0.300144961,0.884641794,D,5,43669.57825,237.8858899,237.8858899
176,0,3,2.040244444,1.540244444,4.62E-01,0.000593821,0.29999237,0.87457084,D,5,43669.57899,240.6320689,240.6320689
177,0,3,2.056738889,1.556738889,4.67E-01,0.000598123,0.29968719,0.864499886,D,5,43669.57967,243.2090004,243.2090004
178,0,3,2.074283333,1.574283333,4.72E-01,0.000602648,0.29999237,0.854428931,D,5,43669.58041,245.949976,245.949976
179,0,3,2.091888889,1.591888889,4.78E-01,0.000607135,0.300068666,0.844357977,D,5,43669.58114,248.7004964,248.7004964
180,0,3,2.110572222,1.610572222,4.83E-01,0.000611839,0.299916075,0.834134432,D,5,43669.58192,251.6193998,251.6193998
181,0,3,2.128583333,1.628583333,4.89E-01,0.00061632,0.300068666,0.824063478,D,5,43669.58267,254.433284,254.433284
182,0,3,2.148208333,1.648208333,4.94E-01,0.000621142,0.299763485,0.813992523,D,5,43669.58349,257.4993079,257.4993079
183,0,3,2.167191667,1.667191667,5.00E-01,0.000625749,0.300068666,0.803921569,D,5,43669.58428,260.4650855,260.4650855
184,0,3,2.186366667,1.686366667,5.06E-01,0.000630344,0.29999237,0.793850614,D,5,43669.58508,263.4608036,263.4608036
185,0,3,2.206941667,1.706941667,5.12E-01,0.000635213,0.300144961,0.78377966,D,5,43669.58593,266.6752391,266.6752391
186,0,3,2.227305556,1.727305556,5.18E-01,0.000639969,0.29983978,0.773708705,D,5,43669.58678,269.8566976,269.8566976
187,0,3,2.248686111,1.748686111,5.25E-01,0.0006449,0.29999237,0.763637751,D,5,43669.58767,273.1969907,273.1969907
188,0,3,2.270997222,1.770997222,5.31E-01,0.000649978,0.29999237,0.753414206,D,5,43669.5886,276.6826622,276.6826622
189,0,3,2.294397222,1.794397222,5.38E-01,0.000655232,0.299916075,0.743343252,D,5,43669.58958,280.338452,280.338452
190,0,3,2.317830556,1.817830556,5.45E-01,0.000660422,0.299916075,0.733272297,D,5,43669.59055,283.999446,283.999446
191,0,3,2.341322222,1.841322222,5.52E-01,0.000665553,0.29999237,0.723048753,D,5,43669.59153,287.6695588,287.6695588
192,0,3,2.3657,1.8657,5.60E-01,0.000670806,0.299916075,0.712977798,D,5,43669.59255,291.4781013,291.4781013
193,0,3,2.390719444,1.890719444,5.67E-01,0.000676122,0.299916075,0.702906844,D,5,43669.59359,295.3868967,295.3868967
194,0,3,2.416441667,1.916441667,5.75E-01,0.000681508,0.300068666,0.692683299,D,5,43669.59466,299.4054835,299.4054835
195,0,3,2.442027778,1.942027778,5.83E-01,0.000686786,0.29999237,0.682459754,D,5,43669.59573,303.4028073,303.4028073
196,0,3,2.467436111,1.967436111,5.90E-01,0.000691951,0.300068666,0.6723888,D,5,43669.59679,307.3723591,307.3723591
197,0,3,2.492463889,1.992463889,5.98E-01,0.000696962,0.29999237,0.662165255,D,5,43669.59783,311.2824614,311.2824614
198,0,3,2.517566667,2.017566667,6.05E-01,0.000701912,0.299916075,0.652094301,D,5,43669.59888,315.2042811,315.2042811
199,0,3,2.542569444,2.042569444,6.13E-01,0.000706767,0.29983978,0.641870756,D,5,43669.59992,319.1104689,319.1104689
200,0,3,2.568225,2.068225,6.20E-01,0.00071167,0.300068666,0.631799802,D,5,43669.60099,323.1186482,323.1186482
201,0,3,2.592683333,2.092683333,6.28E-01,0.00071627,0.29999237,0.621728847,D,5,43669.60201,326.939785,326.939785
202,0,3,2.617594444,2.117594444,6.35E-01,0.000720879,0.300144961,0.611657893,D,5,43669.60304,330.8316602,330.8316602
203,0,3,2.642172222,2.142172222,6.43E-01,0.000725352,0.300068666,0.601586938,D,5,43669.60407,334.671452,334.671452
204,0,3,2.665622222,2.165622222,6.50E-01,0.000729548,0.29999237,0.591515984,D,5,43669.60505,338.3350539,338.3350539
205,0,3,2.689558333,2.189558333,6.57E-01,0.000733759,0.300068666,0.581445029,D,5,43669.60604,342.0746022,342.0746022
206,0,3,2.712447222,2.212447222,6.64E-01,0.000737717,0.300068666,0.571374075,D,5,43669.607,345.6505418,345.6505418
207,0,3,2.735191667,2.235191667,6.70E-01,0.000741582,0.299916075,0.56130312,D,5,43669.60794,349.2039118,349.2039118
208,0,3,2.757894444,2.257894444,6.77E-01,0.000745371,0.300144961,0.551232166,D,5,43669.60889,352.7507766,352.7507766
209,0,3,2.781280556,2.281280556,6.84E-01,0.000749202,0.29999237,0.540856031,D,5,43669.60986,356.4043949,356.4043949
