C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.0031140250,0.00,0.30,0.42,D,5
0.0032198460,0.00,0.30,0.41,D,5
0.0033248326,0.00,0.30,0.40,D,5
0.0034364851,0.00,0.30,0.39,D,5
0.0035456378,0.00,0.30,0.38,D,5
0.0036522900,0.00,0.30,0.37,D,5
0.0037647749,0.00,0.30,0.36,D,5
0.0038747611,0.00,0.30,0.35,D,5
0.0039889141,0.00,0.30,0.33,D,5
0.0041055664,0.00,0.30,0.32,D,5
0.0042213863,0.00,0.30,0.31,D,5
0.0043455374,0.00,0.30,0.30,D,5
0.0044696883,0.00,0.30,0.29,D,5
0.0045971715,0.00,0.30,0.28,D,5
0.0047279885,0.00,0.30,0.27,D,5
0.0048696377,0.00,0.30,0.26,D,5
0.0050179524,0.00,0.30,0.25,D,5
0.0051720995,0.00,0.30,0.24,D,5
0.0053345795,0.00,0.30,0.23,D,5
0.0055153899,0.00,0.30,0.22,D,5
0.0057111991,0.00,0.30,0.21,D,5
0.0059420034,0.00,0.30,0.20,D,5
0.0062111347,0.00,0.30,0.19,D,5
0.0065569261,0.00,0.30,0.18,D,5
0.0070793589,0.00,0.30,0.17,D,5
0.0080959019,0.00,0.30,0.16,D,5
0.0111480152,0.00,0.30,0.15,D,5
0.0211467578,0.00,0.30,0.14,D,1
0.0311454985,0.00,0.30,0.14,D,1
0.0411442240,0.00,0.30,0.13,D,1
0.0511429684,0.00,0.30,0.13,D,1
0.0611417043,0.00,0.30,0.13,D,1
0.0711404360,0.00,0.30,0.12,D,1
0.0811391790,0.00,0.30,0.12,D,1
0.0911379216,0.00,0.30,0.12,D,1
0.1011366621,0.00,0.30,0.11,D,1
0.1111354070,0.00,0.30,0.11,D,1
0.1211341413,0.00,0.30,0.11,D,1
0.1311328852,0.00,0.30,0.10,D,1
0.1411316290,0.00,0.30,0.10,D,1
0.1511303674,0.00,0.30,0.10,D,1
0.1611291146,0.00,0.30,0.09,D,1
0.1711278633,0.00,0.30,0.09,D,1
0.1811265904,0.00,0.30,0.09,D,1
0.1911253281,0.00,0.30,0.08,D,1
0.2011240654,0.00,0.30,0.08,D,1
0.2111228147,0.00,0.30,0.08,D,1
0.2211215536,0.00,0.30,0.07,D,1
0.2311202978,0.00,0.30,0.07,D,1
0.2411190392,0.00,0.30,0.07,D,1
0.2511177733,0.00,0.30,0.07,D,1
0.2611165113,0.00,0.30,0.06,D,1
0.2711152478,0.00,0.30,0.06,D,1
0.2811139815,0.00,0.30,0.06,D,1
0.2911127210,0.00,0.30,0.05,D,1
0.3011114631,0.00,0.30,0.05,D,1
0.3111102217,0.00,0.30,0.05,D,1
0.3211089528,0.00,0.30,0.05,D,1
0.3311076877,0.00,0.30,0.04,D,1
0.3411064217,0.00,0.30,0.04,D,1
0.3511051683,0.00,0.30,0.04,D,1
0.3611039200,0.00,0.30,0.04,D,1
0.3711026565,0.00,0.30,0.03,D,1
0.3811013959,0.00,0.30,0.03,D,1
0.3911001298,0.00,0.30,0.03,D,1
0.4010988672,0.00,0.30,0.02,D,1
0.4110975983,0.00,0.30,0.02,D,1
0.4210963393,0.00,0.30,0.02,D,1
0.4310950837,0.00,0.30,0.02,D,1
0.4410938228,0.00,0.30,0.01,D,1
0.4510925610,0.00,0.30,0.01,D,1
0.4610913043,0.00,0.30,0.01,D,1
0.4710900494,0.00,0.30,0.01,D,1
0.4810887996,0.00,0.30,0.00,D,1
0.4910875351,0.00,0.30,0.00,D,1
0.4975358885,0.00,0.30,0.00,D,133
0.0000000000,0.00,0.00,0.02,R,0
0.0000000000,0.00,0.00,0.03,R,1
0.0000000000,0.00,0.00,0.04,R,1
0.0000000000,0.00,0.00,0.04,R,1
0.0000000000,0.00,0.00,0.04,R,1
0.0000000000,0.00,0.00,0.05,R,129
0.0000019180,0.00,0.30,0.06,C,0
0.0000360821,0.00,0.30,0.08,C,5
0.0001352411,0.00,0.30,0.09,C,5
0.0003418818,0.00,0.30,0.10,C,5
0.0007143353,0.00,0.30,0.11,C,5
0.0012609323,0.00,0.30,0.12,C,5
0.0020200070,0.00,0.30,0.13,C,5
0.0029865501,0.00,0.30,0.14,C,5
0.0042297270,0.00,0.30,0.15,C,5
0.0058020298,0.00,0.30,0.16,C,5
0.0077734503,0.00,0.30,0.17,C,5
0.0101456567,0.00,0.30,0.18,C,5
0.0131019582,0.00,0.30,0.19,C,5
0.0167498348,0.00,0.30,0.20,C,5
0.0212992619,0.00,0.30,0.21,C,5
0.0267852333,0.00,0.30,0.22,C,5
0.0333419050,0.00,0.30,0.23,C,5
0.0411567588,0.00,0.30,0.24,C,5
0.0499164869,0.00,0.30,0.25,C,5
0.0599068906,0.00,0.30,0.26,C,5
0.0699056299,0.00,0.30,0.27,C,1
0.0799043682,0.00,0.30,0.28,C,1
0.0899031181,0.00,0.30,0.29,C,1
0.0999018592,0.00,0.30,0.29,C,1
0.1099005955,0.00,0.30,0.30,C,1
0.1198993492,0.00,0.30,0.31,C,1
0.1298980726,0.00,0.30,0.32,C,1
0.1398968185,0.00,0.30,0.32,C,1
0.1498955697,0.00,0.30,0.33,C,1
0.1598943166,0.00,0.30,0.34,C,1
0.1698930753,0.00,0.30,0.34,C,1
0.1798918194,0.00,0.30,0.35,C,1
0.1898905612,0.00,0.30,0.36,C,1
0.1998893023,0.00,0.30,0.37,C,1
0.2098880444,0.00,0.30,0.37,C,1
0.2198867890,0.00,0.30,0.38,C,1
0.2298855371,0.00,0.30,0.39,C,1
0.2398842696,0.00,0.30,0.40,C,1
0.2498830007,0.00,0.30,0.41,C,1
0.2594701148,0.00,0.30,0.42,C,5
0.2684298229,0.00,0.30,0.43,C,5
0.2771020690,0.00,0.30,0.44,C,5
0.2855043409,0.00,0.30,0.45,C,5
0.2930683845,0.00,0.30,0.46,C,5
0.3002349888,0.00,0.30,0.47,C,5
0.3069858082,0.00,0.30,0.48,C,5
0.3132275204,0.00,0.30,0.49,C,5
0.3191559384,0.00,0.30,0.50,C,5
0.3250751820,0.00,0.30,0.51,C,5
0.3298245823,0.00,0.30,0.52,C,5
0.3347373033,0.00,0.30,0.53,C,5
0.3393925532,0.00,0.30,0.54,C,5
0.3437203351,0.00,0.30,0.55,C,5
0.3478998148,0.00,0.30,0.56,C,5
0.3521476186,0.00,0.30,0.57,C,5
0.3555313568,0.00,0.30,0.58,C,5
0.3589975878,0.00,0.30,0.59,C,5
0.3621405268,0.00,0.30,0.60,C,5
0.3654584498,0.00,0.30,0.61,C,5
0.3685488970,0.00,0.30,0.62,C,5
0.3714235411,0.00,0.30,0.63,C,5
0.3743756734,0.00,0.30,0.64,C,5
0.3771444952,0.00,0.30,0.65,C,5
0.3798499888,0.00,0.30,0.66,C,5
0.3824379977,0.00,0.30,0.67,C,5
0.3849143533,0.00,0.30,0.68,C,5
0.3873598749,0.00,0.30,0.69,C,5
0.3898195676,0.00,0.30,0.71,C,5
0.3921001109,0.00,0.30,0.72,C,5
0.3942023484,0.00,0.30,0.73,C,5
0.3962887527,0.00,0.30,0.74,C,5
0.3983426550,0.00,0.30,0.75,C,5
0.4003257370,0.00,0.30,0.76,C,5
0.4023504802,0.00,0.30,0.77,C,5
0.4043177314,0.00,0.30,0.78,C,5
0.4061291737,0.00,0.30,0.79,C,5
0.4080247657,0.00,0.30,0.80,C,5
0.4097237236,0.00,0.30,0.81,C,5
0.4113485193,0.00,0.30,0.82,C,5
0.4129908143,0.00,0.30,0.83,C,5
0.4146414382,0.00,0.30,0.84,C,5
0.4162662339,0.00,0.30,0.85,C,5
0.4178951934,0.00,0.30,0.86,C,5
0.4193816757,0.00,0.30,0.87,C,5
0.4208206613,0.00,0.30,0.88,C,5
0.4222913095,0.00,0.30,0.89,C,5
0.4236986306,0.00,0.30,0.90,C,5
0.4250834597,0.00,0.30,0.91,C,5
0.4264657868,0.00,0.30,0.92,C,5
0.4278364485,0.00,0.30,0.93,C,5
0.4291937778,0.00,0.30,0.94,C,5
0.4304436214,0.00,0.30,0.95,C,5
0.4317434575,0.00,0.30,0.96,C,5
0.4329874720,0.00,0.30,0.97,C,5
0.4342373141,0.00,0.30,0.98,C,5
0.4355896416,0.00,0.30,0.99,C,5
0.4367636575,0.00,0.30,1.00,C,5
0.4379660057,0.00,0.30,1.01,C,5
0.4391408575,0.00,0.30,1.02,C,5
0.4403173747,0.00,0.30,1.03,C,5
0.4414089041,0.00,0.30,1.04,C,5
0.4425004327,0.00,0.30,1.05,C,5
0.4435611309,0.00,0.30,1.06,C,5
0.4446326575,0.00,0.30,1.07,C,5
0.4456416992,0.00,0.30,1.08,C,5
0.4467190644,0.00,0.30,1.09,C,5
0.4477497673,0.00,0.30,1.10,C,5
0.4487829667,0.00,0.30,1.11,C,5
0.4497095186,0.00,0.30,1.12,C,5
0.4507302250,0.00,0.30,1.13,C,5
0.4516234467,0.00,0.30,1.14,C,5
0.4525824974,0.00,0.30,1.15,C,5
0.4534740496,0.00,0.30,1.16,C,5
0.4544089300,0.00,0.30,1.17,C,5
0.4553704760,0.00,0.30,1.18,C,5
0.4562320362,0.00,0.30,1.19,C,5
0.4569136209,0.00,0.30,1.20,C,133
0.0000000000,0.00,0.00,1.17,R,0
0.0000000000,0.00,0.00,1.10,R,1
0.0000000000,0.00,0.00,1.06,R,1
0.0000000000,0.00,0.00,1.04,R,1
0.0000000000,0.00,0.00,1.02,R,1
0.0000000000,0.00,0.00,1.01,R,129
0.0000019169,0.00,0.30,0.96,D,0
0.0000152498,0.00,0.30,0.95,D,5
0.0000344159,0.00,0.30,0.93,D,5
0.0000585816,0.00,0.30,0.92,D,5
0.0000860798,0.00,0.30,0.90,D,5
